"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"36000";"Ministério da Saúde - Unidades com vínculo";"257003";"INSTITUTO EVANDRO CHAGAS";"000042026";"2570030590009202400079";"INSTALAÇÃO / MANUTENÇÃO - ESQUADRIA";"PORTA EM ALUMÍNIO DE ABRIR TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";"10";"437,31"
"26350";"Fundação Universidade Federal da Grande Dou";"154502";"FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS";"000042026";"1545020590015202500010";"TREINAMENTO APOIO ADMINISTRATIVO";"TREINAMENTO APOIO ADMINISTRATIVO";"1";"20000,00"
"26427";"Instituto Federal de Educação, Ciência e T";"158588";"INST. FED. DA BAHIA/CAMPUS JEQUIE";"000042026";"1585880590001202500011";"CARNE DE AVE IN NATURA";"CARNE DE AVE IN NATURA, TIPO ANIMAL FRANGO, TIPO CORTE SOBRECOXA, APRESENTAÇÃOINTEIRO, ESTADO DE CONSERVAÇÃO CONGELADO(A), PROCESSAMENTO COM PELE, COM OSSO";"1300";"14,50"
"36000";"Ministério da Saúde - Unidades com vínculo";"257003";"INSTITUTO EVANDRO CHAGAS";"000042026";"2570030590009202400079";"INSTALAÇÃO / MANUTENÇÃO - ESQUADRIA";"PORTA EM ALUMÍNIO DE ABRIR TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";"10";"437,31"
"26350";"Fundação Universidade Federal da Grande Dou";"154502";"FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS";"000042026";"1545020590015202500008";"SERVIÇOS DE INTEGRAÇÃO DE SISTEMAS EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC)";"SERVIÇOS DE INTEGRAÇÃO DE SISTEMAS EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC)";"1";"43000,00"
"26427";"Instituto Federal de Educação, Ciência e T";"158588";"INST. FED. DA BAHIA/CAMPUS JEQUIE";"000042026";"1585880590001202500013";"CARNE SALGADA";"CARNE SALGADA, TIPO CORTE MÚSCULO DIANTEIRO- CHARQUE, ORIGEM BOVINA,APRESENTAÇÃO CORTADA, ESTADO DE CONSERVAÇÃO SECO(A)";"1000";"34,69"
"36000";"Ministério da Saúde - Unidades com vínculo";"257003";"INSTITUTO EVANDRO CHAGAS";"000042026";"2570030590009202400079";"INSTALAÇÃO / MANUTENÇÃO - ESQUADRIA";"PORTA EM ALUMÍNIO DE ABRIR TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";"10";"437,31"
"26350";"Fundação Universidade Federal da Grande Dou";"154502";"FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS";"000042026";"1545020590015202500006";"ETIQUETA PROTETORA ELETROMAGNÉTICA";"ETIQUETA PROTETORA ELETROMAGNÉTICA, TIPO ADESIVA, MODELO RFID, APLICAÇÃO GESTÃO PATRMONIAL POR MEIO DE RFID, CARACTERÍSTICAS ADICIONAIS FREQUÊNCIAS UHF ENTRE 860-960MHZ";"7000";"6,00"
"26427";"Instituto Federal de Educação, Ciência e T";"158588";"INST. FED. DA BAHIA/CAMPUS JEQUIE";"000042026";"1585880590001202500044";"CARNE SALGADA";"CARNE SALGADA, TIPO CORTE TOUCINHO, ORIGEM SUÍNA, APRESENTAÇÃO EM MANTAS,ESTADO DE CONSERVAÇÃO RESFRIADO(A)";"290";"22,00"
"36000";"Ministério da Saúde - Unidades com vínculo";"257003";"INSTITUTO EVANDRO CHAGAS";"000042026";"2570030590009202400022";"INSTALAÇÃO / REMOÇÃO / MANUTENÇÃO - FORRO";"REMOÇÃO DE TRAMA METÁLICA OU DE MADEIRA PARA FORRO, DE FORMA MANUAL, SEM REAPR OVEITAMENTO. AF_12/2017";"68";"2,59"
