"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"000102026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200366";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"14/01/2026";"23/01/2026";"14/01/2026";"09/01/2027";"-11";"Sigiloso";"5297,0000";"5297,0000";"-3";"";"";"";""
"000062026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200366";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"05/01/2026";"23/01/2026";"05/01/2026";"05/01/2027";"-11";"Sigiloso";"65600,0000";"65600,0000";"-3";"";"";"";""
"000052026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200366";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"06/01/2026";"23/01/2026";"06/01/2026";"06/01/2027";"-11";"Sigiloso";"2282127,4800";"2282127,4800";"-3";"";"";"";""
"000082026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200366";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"05/01/2026";"23/01/2026";"05/01/2026";"05/01/2027";"-11";"Sigiloso";"371260,0000";"371260,0000";"-3";"";"";"";""
"000092026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200366";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"05/01/2026";"23/01/2026";"05/01/2026";"05/01/2027";"-11";"Sigiloso";"528000,0000";"528000,0000";"-3";"";"";"";""
"000392025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200352";"SUPERINTENDENCIA REGIONAL NO ESTADO DO ES";"30/12/2025";"07/01/2026";"30/12/2025";"30/12/2026";"-11";"Sigiloso";"3951,2000";"3951,2000";"-3";"";"";"";""
"000402025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200352";"SUPERINTENDENCIA REGIONAL NO ESTADO DO ES";"30/12/2025";"07/01/2026";"30/12/2025";"31/12/2026";"-11";"Sigiloso";"618,7700";"618,7700";"-3";"";"";"";""
"000012026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200352";"SUPERINTENDENCIA REGIONAL NO ESTADO DO ES";"13/01/2026";"19/01/2026";"13/01/2026";"";"-11";"Sigiloso";"1254648,4800";"1254648,4800";"-3";"";"";"";""
"000022026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200352";"SUPERINTENDENCIA REGIONAL NO ESTADO DO ES";"13/01/2026";"19/01/2026";"13/01/2026";"";"-11";"Sigiloso";"3942,0000";"3942,0000";"-3";"";"";"";""
"000032026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200352";"SUPERINTENDENCIA REGIONAL NO ESTADO DO ES";"13/01/2026";"19/01/2026";"13/01/2026";"";"-11";"Sigiloso";"9166,5600";"9166,5600";"-3";"";"";"";""
"000942025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"05/01/2026";"06/01/2026";"05/01/2026";"04/07/2026";"-11";"Sigiloso";"480000,0000";"480000,0000";"900022024";"";"";"";""
"001042025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"13/01/2026";"14/01/2026";"13/01/2026";"13/01/2027";"-11";"Sigiloso";"449500,0000";"449500,0000";"900322024";"";"";"";""
"000932025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"15/01/2026";"16/01/2026";"15/01/2026";"14/07/2026";"-11";"Sigiloso";"540000,0000";"577133,1500";"900022024";"";"";"";""
"000992025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"06/01/2026";"21/01/2026";"06/01/2026";"06/01/2031";"-11";"Sigiloso";"61734175,0000";"61734175,0000";"900082025";"";"";"";""
